artist,track,uri,sum_stream_time,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Bad Suns,Daft Pretty Boys,spotify:track:41d2Q6DHcM20OdzynkRtvf,5504715,0.662,0.837,8,-5.015,1,0.0582,0.0623,0.0,0.0931,0.613,136.998,187013,4
Taylor Swift,mirrorball,spotify:track:0ZNU020wNYvgW84iljPkPP,626931,0.553,0.413,2,-10.037,1,0.0334,0.687,2.33e-06,0.0594,0.379,110.107,208978,4
Daniel Caesar,SUPERPOSITION,spotify:track:45PxuJqJBnPXZKLxoo9Apj,1613456,0.589,0.279,4,-11.209,1,0.0408,0.911,0.000128,0.087,0.333,115.656,263795,4
Speedy West,West Of Samoa,spotify:track:6UtAZWcMKQdehuKLql1Xh8,5320,0.51,0.29,9,-13.268,1,0.0323,0.473,0.243,0.343,0.261,101.809,153707,4
Dan Edmonds,Softie,spotify:track:4IJlQzz0LEfF1MigLcpIz2,175252,0.645,0.491,11,-10.585,1,0.0438,0.0663,0.546,0.119,0.643,81.017,175253,4
Vampire Weekend,Sunflower (feat. Steve Lacy),spotify:track:53KFMdxzi8IJDewiql1Qo3,275200,0.863,0.576,8,-5.691,1,0.0567,0.406,0.00824,0.141,0.932,100.03,137600,4
Antwaun Stanley,Speed of Night,spotify:track:3XYb2V17gl1d4g4ip3Uaxy,223979,0.818,0.563,8,-6.71,1,0.18,0.0275,5.03e-06,0.057,0.519,107.017,223979,4
Mac Miller,Family First,spotify:track:0C5DW1QqHUFlO7Od62Yayf,128843,0.69,0.803,0,-2.959,1,0.292,0.694,0.0,0.0875,0.751,87.009,128844,4
Ward Davis,Old Wore out Cowboys (feat. Jamey Johnson & Willie Nelson),spotify:track:4IqA0UomZV9pVJu88RSdk0,98815,0.647,0.444,2,-5.856,1,0.0258,0.798,0.0,0.122,0.382,106.158,214427,3
Franc Moody,Dream in Colour,spotify:track:6p0Gf4bNKRjoKY4PC3Pvyp,198584,0.735,0.793,7,-3.947,1,0.0445,0.0259,0.048,0.421,0.943,116.725,198584,4
IDK,Shoot My Shot,spotify:track:5q9Et9kJTWvRg80uQLBW4s,0,0.756,0.577,7,-7.127,1,0.0395,0.00277,0.0,0.309,0.685,92.036,172105,4
Igor Stravinsky,"The Rite of Spring, K015 (Revised 1947), Part 1: Adoration of the Earth. Introduction",spotify:track:5E3LbW6G6mWQFPPIokMwC1,19352,0.166,0.0182,0,-29.796,0,0.0408,0.918,0.927,0.0862,0.0366,129.888,204907,4
Elton John,Honky Cat - Remastered,spotify:track:3reKrOkPeYbWucYkbuKDeo,1223212,0.485,0.69,2,-8.106,1,0.0425,0.33,0.000293,0.0704,0.961,173.375,314067,4
The Main Squeeze,Sun Goes Down,spotify:track:09AoesXqrYCjo0uWCUqe5f,550884,0.363,0.394,4,-8.455,0,0.0401,0.0297,0.0556,0.652,0.0796,112.56,550884,3
Steam Powered Giraffe,Honeybee,spotify:track:3MZjOGeXhpHbQ9ESMNFFnH,336220,0.352,0.186,1,-11.568,1,0.0346,0.871,1.14e-06,0.13,0.216,87.919,309000,4
Chris Stapleton,A Simple Song,spotify:track:1XXl9pl7ObojHbyJetY75n,346495,0.611,0.198,5,-16.525,1,0.0285,0.87,0.000432,0.109,0.412,77.301,216013,4
COIN,Growing Pains,spotify:track:6B3VHoemogRyAp6VokPNKF,1815996,0.626,0.946,1,-4.644,0,0.0779,0.0523,0.0,0.149,0.679,103.004,211533,4
Darryl Bell,Flossy,spotify:track:2KkIQLaYj6yYTSuGdujkqo,197238,0.711,0.528,2,-8.991,1,0.0793,0.109,0.0,0.118,0.412,97.001,247896,4
THE BLSSM,SMOKE,spotify:track:3meycN9hk4DZaMBfi2HDny,1167230,0.646,0.715,10,-4.714,0,0.0355,0.0123,1.1e-05,0.138,0.36,140.093,168000,4
The Rolling Stones,Rip This Joint - Live At The El Mocambo 1977,spotify:track:6QtxrobAYG2mMfM9LcW6Y4,131133,0.437,0.948,6,-5.321,0,0.0943,0.0293,0.756,0.976,0.727,116.343,131133,4
Shakey Graves,Cops and Robbers,spotify:track:4z9P0JnVUj8x6klNZvQubZ,444176,0.361,0.734,0,-7.053,1,0.0387,0.000178,0.00145,0.103,0.291,143.738,208071,4
Greta Van Fleet,Edge Of Darkness,spotify:track:4rhUBIlzi7zgV7TryhVujl,536800,0.456,0.943,9,-3.819,1,0.0553,0.00753,0.143,0.078,0.666,148.017,268400,4
Avicii,Malo - The Cube Guys Remix,spotify:track:0Myom3gu5aWpvoav1Ayrmi,378946,0.635,0.961,10,-5.329,0,0.0439,0.0175,0.02,0.0508,0.869,125.02,178078,4
Vory,Daylight ft. Ye,spotify:track:0W25rxWT08TRxHizqueBOV,205330,0.503,0.641,0,-7.139,0,0.158,0.0106,2.61e-05,0.119,0.131,159.195,205331,4
Woodkid,Carol N°1,spotify:track:4Du4XoSfbjR2zB02VRwzrK,61146,0.292,0.129,7,-17.073,0,0.0402,0.796,0.544,0.125,0.0383,121.589,61147,4
Bruno Mars,Fly As Me,spotify:track:3a6FcTyvSf0ED3VXeH3PJ5,3257618,0.783,0.627,2,-8.521,1,0.102,0.00756,0.0,0.0606,0.48,100.025,219389,4
Ibrahim Maalouf,Money,spotify:track:2hQYvlF2lzQ626HV8NCBzy,20371,0.382,0.689,4,-8.366,0,0.207,0.00113,0.0,0.527,0.398,86.847,199263,4
Kanye West,Ghost Town,spotify:track:7vgTNTaEz3CsBZ1N4YQalM,434498,0.573,0.545,7,-4.247,0,0.0288,0.0969,0.0,0.329,0.297,83.378,271387,4
Igor Stravinsky,"The Firebird, K010: XI. Second tableau. Disparition du palais et des sortilèges de Kastchei, animation des chevaliers pétrifiés. Allégresse générale",spotify:track:0WHxbopa8NB4LbIOLNtiTs,3330,0.182,0.133,11,-14.363,1,0.0349,0.822,0.812,0.0677,0.0714,87.227,203933,1
Pride of Bedlam,South Australia,spotify:track:3zFGlW5wWwtEBUl73ilrq0,81155,0.672,0.562,2,-5.928,1,0.0563,0.0534,4.13e-06,0.0812,0.851,127.127,140067,4
Bingo Players,I Know This Club,spotify:track:4IJa80QZ60jY7uh1hVOooS,629537,0.87,0.935,9,-4.687,0,0.0737,0.014,0.00189,0.0425,0.9,126.007,153500,4
Baby Keem,So What,spotify:track:0VGsRzbvsKtvZeVoMAc2gA,125098,0.872,0.593,1,-6.32,1,0.114,0.0415,0.000338,0.123,0.212,140.054,125099,4
Childish Gambino,Retro [ROUGH],spotify:track:7Dj5qxfo9DmBCPMUYZFLxE,155914,0.863,0.615,5,-5.875,0,0.0392,0.242,0.00749,0.113,0.315,110.054,202667,4
Shakira,Te Felicito,spotify:track:2rurDawMfoKP4uHyb2kJBt,165053,0.695,0.636,5,-4.654,1,0.317,0.234,0.0,0.081,0.575,174.14,172235,4
Alice Cooper,School's Out,spotify:track:5Z8EDau8uNcP1E8JvmfkZe,822758,0.294,0.745,5,-9.138,1,0.0461,0.05,0.125,0.676,0.347,134.364,210107,4
ZAYN,rEaR vIeW,spotify:track:6LWS6iYUZKYHNl2VwNytpo,202613,0.719,0.614,9,-5.354,0,0.0327,0.611,1.4e-05,0.108,0.69,95.988,201293,4
Tessa Violet,YES MOM,spotify:track:3imd2WJDPDoIOyqDmw3plc,162360,0.78,0.672,8,-4.398,1,0.0328,0.143,7.27e-05,0.125,0.541,97.054,162360,4
COIN,Into My Arms,spotify:track:5zTkiTjxGgLlhtc24r2Qse,1866608,0.419,0.894,2,-6.33,1,0.0824,0.00902,6.09e-06,0.114,0.282,175.04,231427,4
M.A.G.S.,Sunrise,spotify:track:2nzmYqTQGXp4xYj6Fu2nbc,135728,0.605,0.689,0,-7.128,0,0.0394,0.0364,0.872,0.139,0.451,127.955,324511,4
Frank Ocean,Be Yourself,spotify:track:1IdZvb2XK8NmsovQlV6CPn,107911,0.746,0.429,7,-11.143,1,0.494,0.985,0.0,0.149,0.932,88.413,86944,3
St. Paul & The Broken Bones,The Last Dance,spotify:track:3Z9Xzfi7XDT3DVyfb8gRVp,0,0.734,0.77,2,-5.639,1,0.0338,0.0488,0.00913,0.183,0.693,114.981,204548,4
HAIM,3 AM (feat. Thundercat),spotify:track:5S4a9WpiYFrlP3JfEEAfvd,188906,0.647,0.609,6,-7.864,1,0.0497,0.564,0.000195,0.405,0.646,91.011,188907,4
TC Superstar,Into You,spotify:track:3EW3fvwnGoVvLPgAPFqaMJ,350357,0.846,0.363,0,-9.807,1,0.0683,0.288,0.16,0.101,0.648,106.02,350358,4
Aaron May,WOKEUPTHINKINBOUT,spotify:track:3HpRwCE2XIB9u1VXj5R6T9,154291,0.88,0.502,10,-7.389,0,0.213,0.0828,0.0,0.109,0.167,138.425,154291,4
Claude Debussy,"Nocturnes, L. 91: 2. Fêtes",spotify:track:6o8XLE9Q1QgmtWheOMNs5t,1885930,0.152,0.168,9,-21.564,1,0.0475,0.911,0.898,0.0756,0.045,78.177,377187,4
KYLE,Carefree,spotify:track:0UfB1oHKwWuBTBAuIZc0V7,181192,0.813,0.468,8,-9.314,0,0.0556,0.157,0.0,0.0726,0.595,92.944,179353,4
London Symphony Orchestra,"Sky Above, Voice Within",spotify:track:4vbUK4XZ8wNv9boWtZ4kzE,254044,0.102,0.104,9,-24.8,1,0.0399,0.987,0.898,0.109,0.0315,81.12,235627,3
Olivia Lunny,Bedsheets,spotify:track:5VIHNU4y5WKq1F8JGX1nzz,123772,0.531,0.387,3,-12.846,1,0.0408,0.164,0.000312,0.106,0.369,98.021,174333,1
Taylor Swift,Bejeweled,spotify:track:0jvo9CjnbR0lYUDTSNTMiu,388330,0.7,0.55,7,-9.13,1,0.0653,0.0661,0.000102,0.091,0.412,164.003,194166,4
Pomplamoose,Jump (For My Love),spotify:track:6pU1Ku0UqdCrKf9RcAHtfL,234463,0.749,0.473,6,-8.311,0,0.0451,0.298,0.0,0.168,0.766,120.073,234463,4
A Great Big Pile of Leaves,Learn to Share,spotify:track:28hiizW0FA09R3f7hcf73z,311100,0.479,0.323,0,-8.927,1,0.0402,0.807,0.000328,0.598,0.389,137.992,311101,4
Jason Isbell and the 400 Unit,Wooden Ships,spotify:track:0snvfcaD3pbOMfyMwQ2QaK,528796,0.3,0.422,4,-10.273,0,0.0641,0.431,0.105,0.777,0.436,78.951,478536,4
Foreigner,Starrider,spotify:track:7Kd39FdvG56h2Nz2I9aY3E,301,0.391,0.621,0,-8.79,1,0.0377,0.0338,1.96e-05,0.336,0.171,145.924,242867,4
Michael Jackson,Bad - 2012 Remaster,spotify:track:5lWFrW5T3JtxVCLDb7etPu,247360,0.787,0.889,8,-3.786,1,0.0397,0.00462,0.423,0.0665,0.394,114.091,247360,4
Omah Lay,Attention (with Justin Bieber) - Disclosure Remix,spotify:track:1xx7iMgSyLnbDUi170lVbb,256645,0.633,0.891,8,-6.25,1,0.124,0.0375,0.0293,0.22,0.172,124.043,256646,4
Jaden,Summertime In Paris,spotify:track:6XNANAB7sFvkfho6bMCp7o,1786724,0.569,0.86,9,-4.116,1,0.043,0.135,0.0,0.153,0.289,90.937,270960,4
Clifford Brown,Daahoud,spotify:track:2sfcdBm7F0ccANkXBfMK5K,245400,0.498,0.644,1,-12.071,1,0.0333,0.528,0.0609,0.0352,0.712,120.719,245400,4
Leven Kali,Smile,spotify:track:5Wbjjde5ez7sx22OtmrXKV,224248,0.772,0.551,0,-8.667,1,0.099,0.192,0.00175,0.108,0.635,104.969,218051,4
Dee Gees,Tragedy,spotify:track:2Zyn4UVttAJb3t7wRXslV7,640182,0.586,0.821,11,-6.827,0,0.0297,0.000141,0.0532,0.0908,0.439,117.983,287027,4
Kanye West,24,spotify:track:68RhNM8ehkarnEKnCkqlsp,197898,0.386,0.534,5,-6.086,0,0.0389,0.129,0.0,0.351,0.343,110.057,197898,4
Boyd,Panty,spotify:track:2FP48Uo5qpJtc1RnMpt3Oi,185887,0.816,0.711,10,-7.395,1,0.15,0.603,0.0,0.111,0.579,123.945,185887,4
Chance the Rapper,Favorite Song,spotify:track:1sFstGV1Z3Aw5TDFCiT7vK,0,0.725,0.601,1,-9.03,1,0.377,0.0321,0.0,0.0504,0.811,155.918,185062,4
Vulfpeck,Baby I Don’t Know Oh Oh (feat. Charles Jones),spotify:track:5KboIqx30dztT6wmEVFn17,208954,0.638,0.477,7,-6.144,1,0.055,0.193,0.000153,0.358,0.484,112.737,208955,4
The Beatles,Eleanor Rigby - 2022 Mix,spotify:track:1Oo6F5Dn1s8hrUDUQuoCqB,126466,0.606,0.304,0,-7.485,1,0.0414,0.853,0.0,0.34,0.808,137.891,126467,4
Jamestown Revival,Midnight Hour,spotify:track:1Nl0nKMX15Q3c1CS5E3DSM,853320,0.618,0.772,9,-4.673,1,0.0437,0.0633,0.000221,0.0815,0.755,111.741,210667,4
Miles Davis,Stella By Starlight (feat. John Coltrane & Bill Evans),spotify:track:4zxd4tiXPlWMqoJltbVTbE,284560,0.47,0.144,10,-12.824,1,0.0365,0.912,0.000118,0.0965,0.243,84.787,284560,4
Frank Ocean,Thinkin Bout You,spotify:track:7DfFc7a6Rwfi3YQMRbDMau,5635779,0.721,0.339,0,-11.195,1,0.0532,0.409,0.00153,0.0973,0.2,129.83,200747,4
Edvard Grieg,"Piano Concerto in A Minor, Op. 16: 1. Allegro molto moderato - Excerpt",spotify:track:7mJa9F0GYFBVYPqgns0GGW,666464,0.35,0.0775,9,-20.934,0,0.0413,0.983,0.893,0.164,0.0626,116.062,161768,4
Ruel,GROWING UP IS _____,spotify:track:2wJ1eOCIBwoQiN7xQtrTAY,132333,0.673,0.729,0,-5.664,1,0.029,0.000983,0.000107,0.226,0.482,112.535,233588,4
MisterWives,Our Own House,spotify:track:3QzbEvmnuZIONNv82PylZb,232186,0.559,0.76,8,-4.682,1,0.0575,0.00228,0.000481,0.052,0.433,125.773,232187,4
Chance the Rapper,A Bar About a Bar,spotify:track:1d27WzQN1KHKu5969heJAZ,65480,0.561,0.574,9,-8.315,0,0.377,0.172,0.0,0.105,0.795,80.107,65480,4
The Band,Up on Cripple Creek - Concert Version,spotify:track:21Saw6Z6sW4ZJ7HFgWdvmo,535018,0.586,0.965,2,-6.017,1,0.079,0.174,1.33e-06,1.0,0.855,132.922,331467,4
half•alive,Night Swims (poem),spotify:track:0kWgMZoSmmIb5g3UklizX8,145000,0.534,0.336,0,-9.393,1,0.0915,0.794,0.0072,0.0868,0.563,135.521,145000,3
Atlanta Rhythm Section,Pretty Girl,spotify:track:3e70wyGmhLblxbfPm0LY7p,2486146,0.658,0.363,6,-13.692,0,0.0292,0.713,6.94e-06,0.111,0.654,112.133,209307,4
The Fisherman’s Friends,Shanty Man,spotify:track:5SNxHRzOTTHDFdDSh6Axez,2014252,0.532,0.132,2,-19.486,1,0.261,0.957,0.0,0.0832,0.83,176.025,207907,4
Imagine Dragons,Enemy feat. J.I.D. (from the series Arcane League of Legends),spotify:track:4qXKkOZ691yYgQu4Lunrds,520143,0.724,0.782,2,-4.437,1,0.289,0.21,0.0,0.44,0.528,76.984,173381,4
Ava Maybee,Colors,spotify:track:3bdICBGK1qAo2SoszbpteJ,206666,0.859,0.612,8,-8.622,1,0.0439,0.305,1.55e-06,0.132,0.733,107.993,206667,4
CAPYAC,Speedracer,spotify:track:5GCZW0T6NiSmEPvQcAYKoZ,240000,0.726,0.672,10,-5.506,1,0.164,0.272,1.24e-05,0.0812,0.446,105.999,240000,4
Taylor Swift,betty,spotify:track:5kI4eCXXzyuIUXjQra0Cxi,663087,0.593,0.377,0,-8.761,1,0.0253,0.6,0.0,0.0976,0.502,95.939,294521,4
Big Wild,Feel Good,spotify:track:60crPH0AEVhi1ZxicgyR0W,270789,0.547,0.726,2,-6.4,1,0.0389,0.12,4.78e-05,0.112,0.329,117.93,270790,4
Alison Wonderland,Bad Things,spotify:track:47ReVc3e4YlHxh0t0gBk6l,859748,0.469,0.631,10,-7.399,1,0.0423,0.0487,0.000343,0.344,0.0399,147.935,209828,4
Kalisway,BA BUMPIN,spotify:track:0fXPHcPFD97YM5a4eSXSAq,54092,0.949,0.484,1,-5.225,1,0.108,0.00805,0.0,0.0337,0.644,125.036,238005,4
Mac Miller,Hurt Feelings,spotify:track:5p7GiBZNL1afJJDUrOA6C8,5566,0.69,0.462,8,-8.054,1,0.13,0.343,0.00218,0.113,0.325,157.655,245640,4
Post Malone,Goodbyes (feat. Young Thug),spotify:track:0t3ZvGKlmYmVsDzBJAXK8C,756620,0.548,0.653,5,-3.875,1,0.081,0.456,0.0,0.103,0.163,150.068,174853,4
Miloe,where u are,spotify:track:5Twzpnu3oSKEWEjSHRlhgn,281170,0.777,0.566,4,-9.719,0,0.0363,0.326,0.00809,0.128,0.42,110.008,281170,4
Jeremy Pope,Uptown Apartment,spotify:track:2SwnwlozsTOcb6H8vXnBGU,199280,0.636,0.825,10,-5.788,1,0.073,0.0286,0.0,0.184,0.662,93.021,199280,4
Sylvan Esso,Die Young,spotify:track:1BRwuvjhkgezmv1gcI6lT6,210613,0.696,0.544,8,-6.419,1,0.0335,0.372,0.00438,0.104,0.418,101.974,210613,4
Frank Ocean,Pretty Sweet,spotify:track:17yrCsl1Ai6CZLBmGj6d6p,3793,0.202,0.724,0,-6.742,1,0.0494,0.258,0.0252,0.296,0.165,154.037,158478,4
Post Malone,Blame It On Me,spotify:track:1ZemPoaj7LBj1RAQrb89EC,827025,0.652,0.591,11,-7.274,0,0.0418,0.145,5.65e-06,0.164,0.274,121.873,261800,4
Natalie Bergman,Keep Those Teardrops from Falling,spotify:track:34ojZaWg4BOqIL58M5CneC,165239,0.659,0.529,4,-6.261,1,0.0297,0.196,0.0,0.0896,0.716,76.032,164830,4
The Four Freshmen,Nights Are Longer,spotify:track:0Vd1rfh0fDvbNQ91NUxjIS,2790935,0.259,0.298,7,-9.297,1,0.0278,0.868,0.0,0.359,0.19,83.017,160187,4
Swayyvo,Heaven On Earth,spotify:track:6rvoCA6pT1VVHKuRj4nQOs,781706,0.739,0.454,8,-9.145,1,0.0559,0.246,0.00475,0.102,0.318,93.998,251000,4
Pyotr Ilyich Tchaikovsky,"Romeo and Juliet Fantasy Overture, TH 42",spotify:track:0MN3erUzrHFyq9dS3lzpoX,7354318,0.0939,0.121,11,-18.803,0,0.0398,0.831,0.864,0.113,0.0389,74.079,1163160,4
Caroline Polachek,So Hot You're Hurting My Feelings,spotify:track:5B6Kjha6RRIMWGN7zGsAaT,183861,0.795,0.576,6,-4.971,1,0.0289,0.0787,1.01e-05,0.121,0.847,111.975,183861,4
Kacey Musgraves,High Horse,spotify:track:2U2Z1IXnmJIvlknWizFykZ,427386,0.725,0.674,11,-5.254,0,0.0363,0.0325,3.55e-06,0.0531,0.773,120.057,213693,4
Dirty Art Club,Pulp,spotify:track:6my0W6VjAyyfz9DV8cvjIt,135901,0.776,0.629,2,-10.027,1,0.0803,0.555,0.728,0.117,0.688,113.003,134841,4
Sweeps,the waterfront,spotify:track:6aVyqgxXHWB2eU70zThPQD,31050,0.429,0.706,6,-7.836,1,0.111,0.0123,0.166,0.376,0.47,168.158,148525,4
Surfaces,Seattle Interlude,spotify:track:3v41PmdFZ7KA8wq5jdXCCb,85843,0.375,0.68,4,-9.176,1,0.0918,0.887,0.598,0.858,0.0881,80.142,85843,4
6LACK,Rent Free,spotify:track:1NKilzEyipTC34AHEMnKAl,202824,0.795,0.643,1,-5.239,0,0.125,0.362,2.57e-06,0.118,0.623,105.06,202825,4
PawPaw Rod,Glass House,spotify:track:1U2hgbpQ92mK7gCWL0lcWY,171977,0.8,0.392,7,-8.056,1,0.179,0.147,1.07e-05,0.129,0.859,180.941,171978,4
Curly Chalker,Together Again,spotify:track:4JVwOjx0XKdHrLIpv5Umuc,12050,0.466,0.176,8,-21.223,1,0.0312,0.942,0.913,0.107,0.406,105.326,184133,1
Tora,Can't Buy The Mood - Two Another Remix,spotify:track:1EWW8cRDgFwWwv3y2jYpOD,98033,0.664,0.482,4,-7.838,0,0.0997,0.44,0.0,0.277,0.556,86.036,185233,4
Hey Steve,Miss Prince,spotify:track:4vIcKCVTVXwTV7r6Ji0LfP,181149,0.826,0.429,5,-4.997,0,0.104,0.0292,0.0,0.0628,0.921,100.01,167292,4
Disclosure,Jaded,spotify:track:6c4T1Dz9hwK5xat7eh3g8o,596446,0.801,0.857,6,-5.079,1,0.195,0.0111,3.97e-06,0.0645,0.551,117.007,274750,4
Allman Brothers Band,Soulshine,spotify:track:7a014uMHF3nlqzXCxV551C,19961,0.476,0.556,10,-6.501,1,0.0274,0.125,0.0117,0.0898,0.559,135.624,403507,4
Harry Styles,Sign of the Times,spotify:track:5Ohxk2dO5COHF1krpoPigN,1798909,0.516,0.595,5,-4.63,1,0.0313,0.0275,0.0,0.109,0.222,119.972,340707,4
Florence + The Machine,Lover To Lover,spotify:track:1LsZVVQxkbmL9izqfy1RRK,751066,0.588,0.809,0,-3.681,1,0.0309,0.0909,2.6e-06,0.347,0.512,119.009,242827,4
Los Tucanes De Tijuana,La Chona,spotify:track:6pq7EtEDWgD5Sh02RJaXK7,198920,0.84,0.713,7,-5.411,1,0.0399,0.0167,0.0,0.359,0.965,145.068,198920,4
YG Hootie,Two Presidents (feat. Kendrick Lamar),spotify:track:2jpDAw0ehIRhYwYZkJjuRt,371,0.76,0.643,1,-5.082,1,0.244,0.534,0.0,0.102,0.623,124.097,230000,4
The Mamas & The Papas,California Dreamin' - Single Version,spotify:track:4s6LhHAV5SEsOV0lC2tjvJ,845514,0.552,0.608,1,-9.786,0,0.0345,0.352,0.0,0.0533,0.637,112.367,162373,4
Nitty Gritty Dirt Band,Fishing In The Dark,spotify:track:3i5QyEUyXa9Y7lIklr5sWk,6893,0.765,0.494,2,-7.348,1,0.0377,0.31,0.0,0.0836,0.91,77.724,201987,4
Dua Lipa,Good In Bed (Gen Hoshino Remix),spotify:track:1Q6rJb7E9F99NqZbqkJLOT,4033224,0.661,0.639,0,-7.31,1,0.268,0.0486,7.82e-05,0.578,0.379,93.888,238347,4
Lauv,Changes,spotify:track:7cDpMO5wuWgvv3j4INRBeB,535622,0.533,0.454,2,-8.366,1,0.161,0.456,0.0,0.237,0.203,148.177,160187,4
DJ Khaled,"Top Off (feat. JAY Z, Future & Beyoncé)",spotify:track:1W6wxOOYyJyyok8fqYSZ3m,419650,0.573,0.591,11,-6.715,0,0.331,0.0107,0.0,0.455,0.232,86.721,230713,5
Major Lazer,Run Up - Big Fish Remix,spotify:track:70T6Nb5F8WqXUd8FyGOAfa,421344,0.761,0.865,1,-3.831,0,0.217,0.0369,0.0,0.715,0.691,108.038,207778,4
Duckwrth,Kiss U Right Now,spotify:track:4A4EI3YNaHhDiAgpQlCZkk,3183583,0.855,0.331,7,-8.652,1,0.07,0.41,0.00131,0.152,0.652,98.03,194776,4
Pomplamoose,Goodbye Song,spotify:track:085GfTxjPpkyUnHGpzyt7h,3661272,0.529,0.0915,0,-13.201,1,0.0529,0.925,0.0,0.118,0.228,102.327,119125,5
Mood Beach,The American Dream Is Alive in Mexico,spotify:track:7BSyXxXtwZhP5uFap2ut24,276377,0.654,0.85,1,-6.521,0,0.0355,0.0049,2.13e-06,0.909,0.952,112.016,276377,4
Chris Stapleton,Broken Halos,spotify:track:06gD2ZtK3Dzc1BYqWExQJJ,196862,0.613,0.564,8,-7.085,1,0.0251,0.134,1.65e-06,0.0585,0.538,78.388,180907,4
Holman Autry Band,Sweet Southern Wind,spotify:track:2Jg514bdH9PplDlrkbRuQI,37372,0.582,0.57,7,-7.928,1,0.0293,0.455,1.1e-05,0.148,0.596,86.997,257747,4
Terrell Hines,We're All Gonna Be Killed,spotify:track:0OWJgwv0SF2gJPtbjAPGub,606175,0.529,0.713,1,-6.928,1,0.207,0.476,0.0,0.0987,0.375,111.006,195263,4
St. Paul & The Broken Bones,3000 AD Mass,spotify:track:3olromjPhWiwgfhv9uvjNe,252863,0.226,0.697,10,-5.903,1,0.0409,0.0123,0.775,0.286,0.15,71.265,81345,4
Mac Miller,Dunno,spotify:track:3YnwIp2b99p3e5dsFTXIIx,243970,0.622,0.229,1,-11.322,1,0.0445,0.768,0.00906,0.134,0.0998,81.87,237093,4
sumishii,Sittin' Around Smokin',spotify:track:03f9yvTfmUEQSEvffhSunq,86786,0.772,0.885,0,-7.382,1,0.129,0.742,0.588,0.103,0.967,89.132,86787,4
Meltycanon,Pretty,spotify:track:6IVSY2DDjkH7J3TYLoQVZ7,100651,0.481,0.517,4,-14.017,1,0.0276,0.0166,0.00176,0.204,0.659,184.043,100705,4
FRANK LEONE,BAD THINGS,spotify:track:3KLhNG41mB0fOJc4KayGGD,166465,0.744,0.597,10,-7.257,0,0.0371,0.0012,0.000217,0.15,0.774,119.049,166465,4
Eagles,Lyin' Eyes - 2013 Remaster,spotify:track:5lQKRR3MdJLtAwNBiT8Cq0,2540440,0.669,0.673,7,-9.754,1,0.0248,0.203,0.0271,0.164,0.867,132.68,381999,4
Joesef,It's Been a Little Heavy Lately,spotify:track:1jWMrfsKLOj0wn3hIdXyg4,7290,0.722,0.823,6,-3.917,1,0.0701,0.16,0.000407,0.394,0.673,113.996,221872,4
Big Head Todd and The Monsters,I Want You (She's So Heavy),spotify:track:35UHfiqlxTtOabZT2Bjul4,1080531,0.378,0.597,9,-6.849,0,0.0405,0.0311,0.034,0.363,0.309,116.253,337291,4
Jacob Allen,Rainshelter,spotify:track:1IMKFLrCpRXvSWnPjscz1g,199457,0.743,0.5,10,-13.346,0,0.238,0.104,0.00193,0.0679,0.941,96.824,230000,4
Joy Crookes,Two Nights,spotify:track:5BeS2mGbdYVfS53Q6bVinG,186000,0.637,0.663,0,-6.003,0,0.058,0.0906,0.0,0.0773,0.594,159.919,186000,4
Scary Pockets,River,spotify:track:0NTHLgxl5HGWS8cWHBfP65,194794,0.513,0.65,1,-7.753,1,0.0736,0.0448,6.36e-05,0.0832,0.698,145.755,194795,4
Kiana Ledé,EX,spotify:track:47cQCF21TczFSmGfpd7c07,303394,0.763,0.537,9,-7.018,0,0.246,0.231,0.0,0.109,0.426,73.51,222387,4
JJ DOOM,You Understand What I’m Sayin‘?,spotify:track:0N0Vzzuf33qMzmHCFQPGkV,169821,0.649,0.588,1,-9.406,1,0.068,0.0778,0.00267,0.813,0.836,89.968,56608,4
The Chainsmokers,Solo Mission,spotify:track:0oxPA3C0E3zkEDkfYogCb0,188940,0.669,0.569,3,-6.185,0,0.0572,0.169,2.39e-06,0.0515,0.553,83.971,265812,4
Tiësto,Pump It Louder,spotify:track:2yEHX6MqAXPyD7bm47A2Br,3670,0.66,0.942,4,-2.273,1,0.185,0.00789,1.76e-05,0.834,0.543,126.017,158571,4
Jackie Venson,Keep On,spotify:track:5ITo0Il1GL376VHywWD7xr,239885,0.939,0.565,11,-5.166,1,0.0435,0.107,0.0166,0.0555,0.837,110.023,239885,4
Lake Street Dive,Being a Woman,spotify:track:3LQASjzUVNkquf6sCxax7i,2444347,0.808,0.411,9,-8.17,1,0.0598,0.0276,1.73e-05,0.102,0.542,141.971,169856,4
Ruel,Free Time,spotify:track:0fNLObXT9pvc3VED0oAevd,1109414,0.637,0.478,11,-5.783,0,0.03,0.101,0.0,0.103,0.201,99.989,218827,3
Ginger Root,Loretta,spotify:track:3eZqBNHlNA4lUsbAB6UmvD,350373,0.706,0.801,2,-5.646,1,0.0462,0.282,0.594,0.143,0.887,130.001,190154,4
John Craigie,Part Wolf,spotify:track:6O5OMCUPEvInprX8Q55kGo,221544,0.723,0.486,9,-8.362,1,0.0416,0.761,0.0107,0.112,0.806,117.513,221544,4
Omar Apollo,Tamagotchi,spotify:track:7sg9kDT8H2P0wPACXnWRdN,168920,0.755,0.514,11,-6.942,0,0.173,0.083,0.0,0.128,0.553,133.1,168920,4
